id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
1832,Raj,2,5,20,1988,Simultaneous Action Selection,"Animals, Bluffing, Card Game",Alex Randolph,https://boardgamegeek.com/boardgame/175/raj
2027,Clue Master Detective,3,10,60,1988,"Memory, Paper-and-Pencil, Roll / Spin and Move","Deduction, Murder/Mystery",(Uncredited),https://boardgamegeek.com/boardgame/1561/clue-master-detective
2110,Scattergories,2,6,30,1988,"Dice Rolling, Paper-and-Pencil","Party Game, Real-time, Word Game",(Uncredited),https://boardgamegeek.com/boardgame/2381/scattergories
2154,Barbarossa,3,4,60,1988,"Betting/Wagering, Roll / Spin and Move","Deduction, Fantasy, Humor, Party Game, Word Game",Klaus Teuber,https://boardgamegeek.com/boardgame/550/barbarossa
2287,Ligretto,2,4,10,1988,Pattern Building,"Card Game, Real-time",Michael Michaels,https://boardgamegeek.com/boardgame/943/ligretto
2373,Assault on Hoth: The Empire Strikes Back,2,2,90,1988,"Campaign / Battle Card Driven, Dice Rolling, Hex-and-Counter","Movies / TV / Radio theme, Science Fiction, Wargame",Paul Murphy,https://boardgamegeek.com/boardgame/3548/assault-hoth-empire-strikes-back
2681,Forum Romanum,2,6,45,1988,Area Control / Area Influence,"Abstract Strategy, Ancient",Wolfgang Kramer,https://boardgamegeek.com/boardgame/302/forum-romanum
2921,Buck Rogers: Battle for the 25th Century Game,2,6,120,1988,none,"Comic Book / Strip, Movies / TV / Radio theme, Science Fiction, Wargame",Jeff Grubb,https://boardgamegeek.com/boardgame/548/buck-rogers-battle-25th-century-game
3002,Gettysburg (125th Anniversary edition),2,2,90,1988,Hex-and-Counter,"American Civil War, Wargame",S. Craig Taylor,https://boardgamegeek.com/boardgame/1576/gettysburg-125th-anniversary-edition
3094,Targui,2,4,120,1988,"Modular Board, Player Elimination",Wargame,"Wil Dijkstra, Ben van Dijk",https://boardgamegeek.com/boardgame/202/targui
3238,Enemy in Sight,2,8,120,1988,"Hand Management, Take That","American Revolutionary War, Card Game, Napoleonic, Nautical, Wargame",Neal Schlaffer,https://boardgamegeek.com/boardgame/264/enemy-sight
3301,Tokyo Express,1,2,180,1988,"Dice Rolling, Hex-and-Counter","Nautical, Wargame, World War II",Jon Southard,https://boardgamegeek.com/boardgame/1681/tokyo-express
3390,Lee vs. Grant,2,2,120,1988,"Hex-and-Counter, Simulation","American Civil War, Wargame",Joseph M. Balkoski,https://boardgamegeek.com/boardgame/5680/lee-vs-grant
3738,Axiom,2,2,15,1988,Modular Board,Abstract Strategy,Michael Seal,https://boardgamegeek.com/boardgame/820/axiom
3756,Circus Imperium,2,12,120,1988,"Area-Impulse, Hex-and-Counter","Fantasy, Racing","L. Ross Babcock, III, Sam Lewis, Jordan Weisman",https://boardgamegeek.com/boardgame/2224/circus-imperium
4308,Renegade Legion: Centurion ? Blood & Steel,2,4,60,1988,Hex-and-Counter,"Science Fiction, Wargame","Sam Lewis, Jordan Weisman",https://boardgamegeek.com/boardgame/8957/renegade-legion-centurion-blood-steel
4407,Mertwig's Maze,2,6,100,1988,"Modular Board, Role Playing","Adventure, Exploration, Fantasy, Fighting, Maze",Tom Wham,https://boardgamegeek.com/boardgame/1965/mertwigs-maze
4637,Career Poker,4,8,60,1988,Trick-taking,Card Game,"Klaus Grähnke, Brian Walker",https://boardgamegeek.com/boardgame/602/career-poker
414,Space Hulk,2,4,45,1989,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board","Fighting, Miniatures, Science Fiction",Richard Halliwell,https://boardgamegeek.com/boardgame/2163/space-hulk
547,HeroQuest,2,5,90,1989,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Roll / Spin and Move, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures",Stephen Baker,https://boardgamegeek.com/boardgame/699/heroquest
1054,Ave Caesar,2,6,30,1989,Hand Management,"Ancient, Racing",Wolfgang Riedesser,https://boardgamegeek.com/boardgame/494/ave-caesar
1434,A la carte,2,4,30,1989,"Action Point Allowance System, Dice Rolling, Set Collection","Action / Dexterity, Party Game",Karl-Heinz Schmiel,https://boardgamegeek.com/boardgame/217/la-carte
1628,Taboo,4,10,20,1989,Partnerships,"Party Game, Real-time, Word Game",Brian Hersch,https://boardgamegeek.com/boardgame/1111/taboo
1714,Aliens,1,9,90,1989,"Co-operative Play, Dice Rolling, Variable Player Powers","Fighting, Horror, Movies / TV / Radio theme, Science Fiction","David McKenzie, Barry Nakazono",https://boardgamegeek.com/boardgame/1770/aliens
1747,Turning Point: Stalingrad,2,2,180,1989,Area-Impulse,"Wargame, World War II",Don Greenwood,https://boardgamegeek.com/boardgame/759/turning-point-stalingrad
1941,Advanced Heroquest,1,5,120,1989,"Co-operative Play, Modular Board, Role Playing, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures",Jervis Johnson,https://boardgamegeek.com/boardgame/1758/advanced-heroquest
1993,Midnight Party,2,8,30,1989,"Dice Rolling, Press Your Luck, Roll / Spin and Move","Children's Game, Racing",Wolfgang Kramer,https://boardgamegeek.com/boardgame/444/midnight-party
2021,Café International,2,4,60,1989,"Hand Management, Pattern Building, Tile Placement",Abstract Strategy,Rudi Hoffmann,https://boardgamegeek.com/boardgame/214/cafe-international
2127,The Siege of Jerusalem (Third Edition),1,2,300,1989,Hex-and-Counter,"Ancient, Wargame","Fred Schachter, B. Sinigaglio, Steve Weiss",https://boardgamegeek.com/boardgame/1710/siege-jerusalem-third-edition
2472,1853,3,6,180,1989,"Route/Network Building, Stock Holding, Tile Placement","Economic, Trains, Transportation",Francis Tresham,https://boardgamegeek.com/boardgame/1493/1853
2534,Icehouse,3,5,20,1989,none,"Abstract Strategy, Game System, Real-time","John Cooper, Andrew Looney",https://boardgamegeek.com/boardgame/225/icehouse
2758,Car Wars Compendium,2,8,45,1989,Hex-and-Counter,"Book, Racing, Science Fiction","Chad Irby, Steve Jackson (I)",https://boardgamegeek.com/boardgame/13354/car-wars-compendium
2794,Space Marine,2,3,120,1989,"Dice Rolling, Simultaneous Action Selection, Variable Player Powers","Miniatures, Science Fiction, Wargame","Graeme Davis, Jervis Johnson",https://boardgamegeek.com/boardgame/4001/space-marine
3073,5th Fleet,2,4,180,1989,"Dice Rolling, Hex-and-Counter","Modern Warfare, Wargame",Joseph M. Balkoski,https://boardgamegeek.com/boardgame/4920/5th-fleet
3379,The Great Khan Game,2,6,90,1989,Campaign / Battle Card Driven,"Bluffing, Card Game, Fantasy, Medieval","Richard Hamblen, Tom Wham",https://boardgamegeek.com/boardgame/2063/great-khan-game
3502,Extra!,1,6,10,1989,"Dice Rolling, Set Collection",Dice,Sid Sackson,https://boardgamegeek.com/boardgame/2371/extra
3540,Modern Naval Battles,2,6,90,1989,"Hand Management, Take That","Card Game, Modern Warfare, Nautical, Print & Play, Wargame","Alan Emrich, Beth Queman, Dan Verssen",https://boardgamegeek.com/boardgame/1668/modern-naval-battles
3638,MBT (first edition),2,6,60,1989,"Hex-and-Counter, Modular Board, Simultaneous Action Selection","Modern Warfare, Wargame",James M. Day,https://boardgamegeek.com/boardgame/3710/mbt-first-edition
3970,Such a Thing?,2,8,30,1989,"Storytelling, Voting","Party Game, Word Game",Urs Hostettler,https://boardgamegeek.com/boardgame/6657/such-thing
4144,Hotel Life,3,4,120,1989,none,"Economic, Humor","Urs Hostettler, Hermann Wieland",https://boardgamegeek.com/boardgame/4485/hotel-life
4222,Liftoff!,1,4,180,1989,"Dice Rolling, Simultaneous Action Selection",Space Exploration,"Fritz Bronner, John Olsen, Robert L. Sassone",https://boardgamegeek.com/boardgame/2853/liftoff
4341,Napoleon's Battles,2,10,360,1989,none,"Miniatures, Napoleonic, Wargame","Robert Coggins, S. Craig Taylor",https://boardgamegeek.com/boardgame/5504/napoleons-battles
4483,Der wahre Walter,4,10,60,1989,"Betting/Wagering, Voting",Party Game,Urs Hostettler,https://boardgamegeek.com/boardgame/8939/der-wahre-walter
4570,The New Dungeon!,1,6,45,1989,"Role Playing, Roll / Spin and Move, Variable Player Powers","Adventure, Dice, Exploration, Fantasy, Fighting, Medieval","Jeff Grubb, David R. Megarry, Steve Winter",https://boardgamegeek.com/boardgame/2301/new-dungeon
4759,Fief 2,3,6,120,1989,"Area Movement, Voting","City Building, Economic, Medieval, Negotiation, Political","Philippe Mouchebeuf, Duccio Vitale",https://boardgamegeek.com/boardgame/1014/fief-2
4963,Excalibur,2,6,120,1989,"Action / Movement Programming, Dice Rolling, Paper-and-Pencil, Point to Point Movement, Simultaneous Action Selection","Fighting, Medieval, Wargame","Chris Courtiour, Richard Milner, Julian Musgrave, Dieter Schmidt, Jamie Walker",https://boardgamegeek.com/boardgame/6646/excalibur
329,The Republic of Rome,1,6,300,1990,"Dice Rolling, Hand Management, Simulation, Variable Player Powers, Voting","Ancient, Negotiation, Political, Wargame","Richard Berthold, Don Greenwood, Robert Haines",https://boardgamegeek.com/boardgame/1513/republic-rome
1024,Eurorails,2,6,240,1990,"Crayon Rail System, Pick-up and Deliver, Route/Network Building","Economic, Trains, Transportation","Darwin Bromley, Steven Courtemanche, Larry Roznai",https://boardgamegeek.com/boardgame/157/eurorails
1052,Space Crusade,2,4,120,1990,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers","Miniatures, Science Fiction",Stephen Baker,https://boardgamegeek.com/boardgame/1568/space-crusade
1165,Hoity Toity,2,6,45,1990,"Rock-Paper-Scissors, Set Collection, Simultaneous Action Selection",Bluffing,Klaus Teuber,https://boardgamegeek.com/boardgame/120/hoity-toity
1289,Daytona 500,2,4,70,1990,"Auction/Bidding, Hand Management","Card Game, Racing, Sports",Wolfgang Kramer,https://boardgamegeek.com/boardgame/631/daytona-500
1381,HeroQuest Advanced Quest,2,5,90,1990,Role Playing,"Adventure, Exploration, Fantasy, Fighting",Stephen Baker,https://boardgamegeek.com/boardgame/22192/heroquest-advanced-quest
1488,Gang of Four,3,4,40,1990,"Hand Management, Set Collection, Trick-taking","Card Game, Political",Lee Yih,https://boardgamegeek.com/boardgame/3085/gang-four
1769,De Bellis Antiquitatis,2,6,60,1990,"Action Point Allowance System, Dice Rolling, Modular Board","Ancient, Book, Medieval, Miniatures, Wargame","Philip C. Barker, Sue Laflin Barker, Richard Bodley Scott",https://boardgamegeek.com/boardgame/299/de-bellis-antiquitatis
1872,1835,3,7,360,1990,"Auction/Bidding, Route/Network Building, Stock Holding","Economic, Trains","Michael Meier-Bachl, Francis Tresham",https://boardgamegeek.com/boardgame/422/1835
2070,Star Fleet Battles: Captain's Edition Basic Set,1,6,180,1990,"Dice Rolling, Hex-and-Counter","Movies / TV / Radio theme, Science Fiction, Wargame",Stephen V. Cole,https://boardgamegeek.com/boardgame/29663/star-fleet-battles-captains-edition-basic-set
